,property_type,state,lat,lon,area_m2, price_mxn 
1,apartment,Nuevo León,25.721081,-100.345581,72," $1,300,000 "
2,apartment,Puebla,,,190," $2,500,000 "
3,house,Morelos,23.634501,-102.552788,360," $5,300,000 "
4,house,Morelos,,,76," $820,000 "
5,house,Puebla,,,200," $1,100,000 "
6,house,San Luis Potosí,,,162," $1,860,000 "
7,apartment,Estado de México,19.2720402,-99.572013,85," $1,250,000 "
8,house,San Luis Potosí,22.13888212,-100.9965101,158," $2,120,000 "
9,apartment,Distrito Federal,19.394558,-99.129707,65," $758,190 "
10,house,Morelos,,,216," $2,750,000 "
11,house,Veracruz de Ignacio de la Llave,19.1680666,-96.160663,100," $670,000 "
12,apartment,Distrito Federal,19.3261963,-99.14058611,74," $2,990,000 "
13,house,Yucatán,21.0552216,-89.6583682,220," $2,137,000 "
14,house,Chihuahua,28.691416,-106.13604,236," $2,100,000 "
15,house,Morelos,,,277," $5,700,000 "
16,apartment,Jalisco,20.641428,-103.417295,85," $1,690,000 "
17,house,San Luis Potosí,22.126078,-100.944672,131," $1,045,000 "
18,house,Puebla,19.03642362,-98.19941841,337," $3,100,000 "
19,apartment,Distrito Federal,19.367239,-99.186126,92," $3,500,000 "
20,apartment,Guerrero,16.851935,-99.844955,195," $2,000,000 "
21,house,Veracruz de Ignacio de la Llave,19.153019,-96.12487,207," $2,750,000 "
22,house,Nuevo León,25.75013289,-100.2701137,280," $1,990,000 "
23,apartment,Estado de México,19.536253,-99.240456,99," $1,250,000 "
24,house,Chiapas,19.673779,-101.187927,210," $2,600,000 "
25,house,Baja California,32.4690603,-116.8196303,111," $1,366,313 "
26,house,Yucatán,21.030771,-89.646347,150," $1,200,000 "
27,house,Chiapas,16.717077,-93.162903,170," $1,800,000 "
28,house,Morelos,18.813908,-99.201675,86," $1,000,000 "
29,apartment,Distrito Federal,19.473001,-99.087491,79," $680,990 "
30,house,Yucatán,21.072905,-89.65963,190," $1,850,000 "
31,house,Querétaro,20.618279,-100.346985,237," $3,000,000 "
32,house,Yucatán,21.075163,-89.516731,300," $2,190,000 "
33,house,Guerrero,16.86597275,-99.87171739,300," $2,500,000 "
34,house,Chiapas,,,270," $3,300,000 "
35,house,Estado de México,,,350," $4,000,000 "
36,house,Veracruz de Ignacio de la Llave,25.582705,-103.376805,232," $1,550,000 "
37,house,Yucatán,21.017197,-89.574516,220," $1,750,000 "
38,house,Hidalgo,20.036614,-98.77615,295," $1,800,000 "
39,house,Yucatán,21.0399331,-89.5965747,240," $1,890,000 "
40,house,Morelos,18.893921,-99.221429,160," $2,850,000 "
41,house,Aguascalientes,,,140," $650,000 "
42,house,Veracruz de Ignacio de la Llave,25.545829,-103.38708,115," $1,100,000 "
43,house,Quintana Roo,21.139086,-86.84964,290," $2,250,000 "
44,house,Chiapas,19.681248,-101.209167,180," $1,350,000 "
45,apartment,Distrito Federal,19.271467,-99.146309,98," $2,486,000 "
46,house,Chiapas,19.724886,-101.118018,120," $1,400,000 "
47,house,Estado de México,19.420156,-99.249458,378," $6,100,000 "
48,apartment,Puebla,,,212," $5,368,000 "
49,house,Guanajuato,20.684505,-101.406695,280," $3,600,000 "
50,house,Guanajuato,,,150," $1,900,000 "
51,house,Puebla,18.984862,-98.222234,299," $4,400,000 "
52,house,Distrito Federal,19.289286,-99.158066,140," $2,360,000 "
53,house,San Luis Potosí,22.150696,-101.010025,172," $1,540,000 "
54,apartment,Distrito Federal,19.444924,-99.139843,60," $879,333 "
55,house,Tabasco,18.017324,-92.899362,98," $700,000 "
56,house,Puebla,19.014643,-98.170731,286," $4,950,000 "
57,house,Estado de México,,,270," $6,000,000 "
58,house,Tamaulipas,22.258686,-97.851753,163," $2,000,000 "
59,house,Distrito Federal,19.378482,-99.220795,100," $3,820,163 "
60,house,Morelos,18.93409,-99.254997,240," $3,400,000 "
61,house,Yucatán,,,385," $5,950,000 "
62,house,Yucatán,21.0315095,-89.600513,325," $3,550,000 "
63,apartment,Yucatán,21.072905,-89.65963,190," $3,500,000 "
64,apartment,Morelos,18.923538,-99.241848,110," $1,100,000 "
65,apartment,Distrito Federal,,,92," $1,280,000 "
66,house,Querétaro,20.681293,-100.329622,155," $1,850,000 "
67,apartment,Puebla,,,121," $2,390,000 "
68,house,Morelos,18.821062,-98.949371,120," $1,320,000 "
69,apartment,Guerrero,16.8531086,-99.8236533,141," $2,300,000 "
70,apartment,Puebla,19.049024,-98.281669,127," $1,690,000 "
71,house,Tamaulipas,22.34005336,-97.88609952,165," $1,700,000 "
72,house,Morelos,18.862602,-99.213448,145," $1,850,000 "
73,apartment,Morelos,,,105," $1,840,000 "
74,apartment,Yucatán,21.018724,-89.589836,60," $895,000 "
75,house,Jalisco,20.569456,-103.50165,176," $2,350,000 "
76,house,Yucatán,,,296," $2,600,000 "
77,apartment,Distrito Federal,19.3934457,-99.1796926,100," $5,304,678 "
78,house,Puebla,,,92," $960,000 "
79,apartment,Distrito Federal,19.436024,-99.15461,64," $4,500,000 "
80,apartment,Distrito Federal,19.378009,-99.193543,180," $1,485,600 "
81,apartment,Distrito Federal,19.416294,-99.16748,117," $5,499,000 "
82,house,Querétaro,,,134," $1,690,000 "
83,house,Morelos,18.859078,-99.176287,82," $760,000 "
84,house,Querétaro,20.692161,-100.465025,258," $2,800,000 "
85,house,Querétaro,20.394361,-99.973053,120," $1,400,000 "
86,house,Baja California,32.453504,-117.038495,111," $1,366,313 "
87,house,Yucatán,,,135," $1,010,000 "
88,house,Tabasco,23.634501,-102.552788,82," $850,000 "
89,house,Estado de México,19.619862,-99.146996,75," $703,705 "
90,house,Veracruz de Ignacio de la Llave,,,255," $2,850,000 "
91,house,Hidalgo,20.059035,-98.790359,240," $2,700,000 "
92,house,Estado de México,19.468129,-99.04049,86," $813,345 "
93,house,Yucatán,21.0424858,-89.5568382,200," $1,735,000 "
94,house,Guerrero,16.758369,-99.768737,136," $2,559,600 "
95,house,Querétaro,,,112," $1,519,200 "
96,house,Nuevo León,25.6315927,-100.1953926,90," $820,000 "
97,apartment,Quintana Roo,21.15958774,-86.82220861,145," $3,160,000 "
98,apartment,Guerrero,16.860338,-99.870399,250," $1,900,000 "
99,apartment,Guerrero,16.86656582,-99.88082886,108," $980,000 "
100,apartment,Jalisco,20.685983,-103.447155,64," $1,470,000 "
101,house,Yucatán,21.0751632,-89.5167298,252," $1,974,967 "
102,apartment,Distrito Federal,19.376822,-99.174675,114," $4,436,000 "
103,apartment,Puebla,19.0303511,-98.3143192,102," $1,850,000 "
104,house,Distrito Federal,19.433274,-99.210758,304," $4,398,100 "
105,apartment,Distrito Federal,19.394358,-99.177444,100," $4,358,600 "
106,house,Yucatán,21.039522,-89.563911,146," $1,450,000 "
107,house,Morelos,18.8954874,-99.1732936,154," $1,780,000 "
108,house,Puebla,18.984862,-98.222234,289," $4,300,000 "
109,house,Yucatán,21.072905,-89.65963,90," $1,200,000 "
110,house,Morelos,18.813908,-99.201675,67," $650,000 "
111,house,Jalisco,20.424117,-103.29756,299," $3,100,000 "
112,house,Yucatán,21.0381057,-89.5933722,182," $1,995,000 "
113,house,Estado de México,19.28283025,-99.56667352,267," $3,000,000 "
114,house,Veracruz de Ignacio de la Llave,,,370," $3,500,000 "
115,house,Chihuahua,28.6464221,-106.0860628,233," $2,950,000 "
116,apartment,Estado de México,19.5652097,-99.2646998,87," $1,850,000 "
117,house,Estado de México,19.284855,-98.950752,80," $1,320,000 "
118,house,Nayarit,20.70506,-105.269812,101," $1,250,000 "
119,house,Distrito Federal,19.2753576,-99.1675547,370," $5,000,000 "
120,apartment,Veracruz de Ignacio de la Llave,19.137135,-96.112946,110," $1,100,000 "
121,house,Jalisco,20.675995,-103.420837,220," $4,050,000 "
122,house,Tamaulipas,22.3151894,-97.8573594,318," $900,000 "
123,house,Distrito Federal,,,220," $1,600,000 "
124,apartment,Distrito Federal,19.436404,-99.173617,70," $1,710,284 "
125,house,Quintana Roo,21.095711,-86.869343,147," $1,869,000 "
126,house,Baja California,32.509445,-116.985857,104," $1,500,000 "
127,house,Morelos,,,333," $3,600,000 "
128,house,Jalisco,20.616705,-103.413612,105," $1,250,000 "
129,house,Sinaloa,,,183," $725,000 "
130,house,Sinaloa,23.215713,-106.418182,315," $4,800,000 "
131,house,Yucatán,21.039522,-89.563911,277," $2,800,000 "
132,house,Yucatán,21.072905,-89.65963,240," $2,335,000 "
133,house,Yucatán,21.072905,-89.65963,201," $1,429,000 "
134,apartment,Yucatán,21.015982,-89.705116,172," $3,350,000 "
135,apartment,San Luis Potosí,22.12590752,-100.9865534,103," $1,020,000 "
136,house,Querétaro,20.547674,-100.394761,110," $980,000 "
